Referencenumber,isRIA,RIAstart,RIAend,isMG,MGstart,MGend,isVT,VTstart,VTend,Other
 "PRH01143","false","","","false","","","false","","",""
 "RXA01214","false","","","false","","","false","","",""
 "RFS01018","false","","","false","","","false","","",""
 "RXC01744","false","","","false","","","false","","",""
 "RPK01017","false","","","false","","","false","","",""
 "RGS01115","false","","","false","","","false","","",""
 "PRH01143","false","","","false","","","false","","",""
 "RXA01214","false","","","false","","","false","","",""
 "RFS01018","false","","","false","","","false","","",""
 "RXC01744","false","","","false","","","false","","",""
 "RPK01017","false","","","false","","","false","","",""
 "RGS01115","false","","","false","","","false","","",""
 "RRB01054","false","","","false","","","false","","",""
 "URM01000","false","","","false","","","false","","",""
 "RXH00237","false","","","false","","","false","","",""
 "SXR01634","false","","","false","","","false","","",""
 "SSR01019","false","","","false","","","false","","",""
 "AXR00035","false","","","false","","","false","","",""
 "EXR01082","false","","","false","","","false","","",""
 "MXN01280","false","","","false","","","false","","",""
 "PRH01143","false","","","false","","","false","","",""
 "RXA01214","false","","","false","","","false","","",""
 "RFS01018","false","","","false","","","false","","",""
 "RXC01744","false","","","false","","","false","","",""
 "RPK01017","false","","","false","","","false","","",""
 "RGS01115","false","","","false","","","false","","",""
 "RRB01054","false","","","false","","","false","","",""
 "URM01000","false","","","false","","","false","","",""
 "RXH00237","false","","","false","","","false","","",""
 "SXR01634","false","","","false","","","false","","",""
 "SSR01019","false","","","false","","","false","","",""
 "AXR00035","false","","","false","","","false","","",""
 "EXR01082","false","","","false","","","false","","",""
 "MXN01280","false","","","false","","","false","","",""
 "PRH01143","false","","","false","","","false","","",""
 "RXA01214","false","","","false","","","false","","",""
 "RFS01018","false","","","false","","","false","","",""
 "RXC01744","false","","","false","","","false","","",""
 "RPK01017","false","","","false","","","false","","",""
 "RGS01115","false","","","false","","","false","","",""
 "RRB01054","false","","","false","","","false","","",""
 "URM01000","false","","","false","","","false","","",""
 "RXH00237","false","","","false","","","false","","",""
 "SXR01634","false","","","false","","","false","","",""
 "SSR01019","false","","","false","","","false","","",""
 "AXR00035","false","","","false","","","false","","",""
 "EXR01082","false","","","false","","","false","","",""
 "MXN01280","false","","","false","","","false","","",""
 "PRH01143","false","","","false","","","false","","",""
 "RXA01214","false","","","false","","","false","","",""
 "RFS01018","false","","","false","","","false","","",""
 "RXC01744","false","","","false","","","false","","",""
 "RPK01017","false","","","false","","","false","","",""
 "RGS01115","false","","","false","","","false","","",""
 "RRB01054","false","","","false","","","false","","",""
 "URM01000","false","","","false","","","false","","",""
 "RXH00237","false","","","false","","","false","","",""
 "SXR01634","false","","","false","","","false","","",""
 "SSR01019","false","","","false","","","false","","",""
 "AXR00035","false","","","false","","","false","","",""
 "EXR01082","false","","","false","","","false","","",""
 "MXN01280","false","","","false","","","false","","",""
 "PRH01143","false","","","false","","","false","","",""
 "RXA01214","false","","","false","","","false","","",""
 "RFS01018","false","","","false","","","false","","",""
 "RXC01744","false","","","false","","","false","","",""
 "RPK01017","false","","","false","","","false","","",""
 "RGS01115","false","","","false","","","false","","",""
 "RRB01054","false","","","false","","","false","","",""
 "URM01000","false","","","false","","","false","","",""
 "RXH00237","false","","","false","","","false","","",""
 "SXR01634","false","","","false","","","false","","",""
 "SSR01019","false","","","false","","","false","","",""
 "AXR00035","false","","","false","","","false","","",""
 "EXR01082","false","","","false","","","false","","",""
 "MXN01280","false","","","false","","","false","","",""
 "PRH01143","false","","","false","","","false","","",""
 "RXA01214","false","","","false","","","false","","",""
 "RFS01018","false","","","false","","","false","","",""
 "RXC01744","false","","","false","","","false","","",""
 "RPK01017","false","","","false","","","false","","",""
 "RGS01115","false","","","false","","","false","","",""
 "RRB01054","false","","","false","","","false","","",""
 "URM01000","false","","","false","","","false","","",""
 "RXH00237","false","","","false","","","false","","",""
 "SXR01634","false","","","false","","","false","","",""
 "SSR01019","false","","","false","","","false","","",""
 "AXR00035","false","","","false","","","false","","",""
 "EXR01082","false","","","false","","","false","","",""
 "MXN01280","false","","","false","","","false","","",""
